epoch,train_loss,val_loss,train_accuracy,val_accuracy
1,0.8388203382492065,1.0117840766906738,0.6808410882949829,0.6030701994895935
2,0.8273100256919861,1.0189489126205444,0.6828380227088928,0.6003289222717285
3,0.8132764101028442,1.013708472251892,0.6881240606307983,0.6058114171028137
4,0.8177070021629333,1.0101079940795898,0.6905908584594727,0.6003289222717285
5,0.8166694045066833,1.0110934972763062,0.6916480660438538,0.6058114171028137
6,0.8110650777816772,1.0164425373077393,0.6947022080421448,0.6025219559669495
7,0.8052575588226318,1.0178232192993164,0.6949371695518494,0.6019737124443054
8,0.8033404350280762,1.0179164409637451,0.6947022080421448,0.6041666865348816
9,0.8025646805763245,1.014986515045166,0.6918830275535583,0.6041666865348816
10,0.7918190360069275,1.0153529644012451,0.6970515847206116,0.6047149300575256
11,0.7883315086364746,1.0161733627319336,0.7031598687171936,0.6063596606254578
12,0.7941081523895264,1.014149785041809,0.6978738307952881,0.6080043911933899
13,0.7934889793395996,1.017316222190857,0.6981087923049927,0.6052631735801697
14,0.7959271669387817,1.0125017166137695,0.6996358633041382,0.6069079041481018
15,0.7919445633888245,1.014540433883667,0.6970515847206116,0.6074561476707458
16,0.7861038446426392,1.013529896736145,0.6996358633041382,0.6069079041481018
17,0.788604199886322,1.018996238708496,0.6991659998893738,0.6052631735801697
18,0.792396068572998,1.0165159702301025,0.7038646936416626,0.6047149300575256
19,0.7908575534820557,1.013753890991211,0.7042170763015747,0.6052631735801697
